iter	RMSE
0	14.04899173
1	13.06195498
2	12.19474352
3	11.40303145
4	10.69811747
5	10.17616366
6	9.594380806
7	9.12578912
8	8.694483901
9	8.272440843
10	7.893099674
11	7.595970388
12	7.331559748
13	7.077202017
14	6.84416112
15	6.673016208
16	6.489816887
17	6.332728897
18	6.200131564
19	6.098280403
20	5.988098183
21	5.905388535
22	5.808971846
23	5.738941886
24	5.656332032
25	5.601419372
26	5.535895967
27	5.489078436
28	5.440990735
29	5.396117899
30	5.355559329
31	5.322952462
32	5.290961567
33	5.267065956
34	5.236593788
35	5.209339146
36	5.183962791
37	5.159736384
38	5.137648153
39	5.11965084
40	5.105187608
41	5.087523814
42	5.058638059
43	5.044826034
44	5.032963635
45	5.019156359
46	4.997935168
47	4.98950751
48	4.974873147
49	4.955832775
50	4.931282587
51	4.919804292
52	4.904033252
53	4.890428546
54	4.879317495
55	4.867202136
56	4.853083502
57	4.83336399
58	4.814885695
59	4.809256213
60	4.795312191
61	4.785460281
62	4.77639314
63	4.768083345
64	4.762525567
65	4.75450526
66	4.749137456
67	4.740198399
68	4.733150618
69	4.72351814
70	4.714631143
71	4.699722305
72	4.684364737
73	4.671901417
74	4.658524904
75	4.648944526
76	4.625743174
77	4.611080699
78	4.604243425
79	4.591504178
80	4.590459953
81	4.582336574
82	4.573399546
83	4.569260473
84	4.552252675
85	4.542780432
86	4.52644073
87	4.516454225
88	4.505860398
89	4.491608332
90	4.482740151
91	4.476436512
92	4.465475563
93	4.45824654
94	4.455065878
95	4.450740606
96	4.447011897
97	4.434426463
98	4.411770738
99	4.40821559
